iter x y fval size
  100 -6.719e+00  4.505e+01 6.067e+01 5.979e-01
  101 -6.718e+00  4.510e+01 5.963e+01 6.541e-01
  102 -6.718e+00  4.510e+01 5.963e+01 6.541e-01
  103 -6.568e+00  4.310e+01 5.740e+01 8.423e-01
  104 -6.568e+00  4.310e+01 5.740e+01 8.423e-01
  105 -6.415e+00  4.122e+01 5.540e+01 1.355e+00
  106 -6.317e+00  3.980e+01 5.454e+01 1.355e+00
  107 -5.962e+00  3.533e+01 5.329e+01 2.518e+00
  108 -6.277e+00  3.939e+01 5.297e+01 2.027e+00
  109 -5.922e+00  3.491e+01 5.050e+01 2.027e+00
  110 -5.922e+00  3.491e+01 5.050e+01 2.027e+00
  111 -5.883e+00  3.450e+01 4.847e+01 2.027e+00
  112 -5.883e+00  3.450e+01 4.847e+01 1.024e+00
  113 -5.883e+00  3.450e+01 4.847e+01 1.024e+00
  114 -5.729e+00  3.271e+01 4.662e+01 1.524e+00
  115 -5.729e+00  3.271e+01 4.662e+01 9.923e-01
  116 -5.706e+00  3.259e+01 4.507e+01 1.121e+00
  117 -5.517e+00  3.028e+01 4.495e+01 1.121e+00
  118 -5.376e+00  2.888e+01 4.067e+01 1.533e+00
  119 -5.376e+00  2.888e+01 4.067e+01 9.128e-01
  120 -5.376e+00  2.888e+01 4.067e+01 9.047e-01
  121 -5.095e+00  2.591e+01 3.732e+01 1.678e+00
  122 -5.095e+00  2.591e+01 3.732e+01 1.678e+00
  123 -5.095e+00  2.591e+01 3.732e+01 9.047e-01
  124 -5.095e+00  2.591e+01 3.732e+01 6.332e-01
  125 -5.095e+00  2.591e+01 3.732e+01 6.332e-01
  126 -4.918e+00  2.412e+01 3.547e+01 7.737e-01
  127 -4.918e+00  2.412e+01 3.547e+01 7.737e-01
  128 -4.761e+00  2.266e+01 3.320e+01 1.179e+00
  129 -4.761e+00  2.266e+01 3.320e+01 7.854e-01
  130 -4.579e+00  2.086e+01 3.214e+01 7.854e-01
  131 -4.539e+00  2.064e+01 3.085e+01 9.103e-01
  132 -4.356e+00  1.884e+01 3.048e+01 9.103e-01
  133 -4.186e+00  1.750e+01 2.691e+01 1.294e+00
  134 -4.186e+00  1.750e+01 2.691e+01 8.039e-01
  135 -4.186e+00  1.750e+01 2.691e+01 7.879e-01
  136 -3.866e+00  1.483e+01 2.489e+01 1.481e+00
  137 -3.866e+00  1.483e+01 2.489e+01 1.205e+00
  138 -3.825e+00  1.455e+01 2.405e+01 1.205e+00
  139 -3.825e+00  1.455e+01 2.405e+01 6.112e-01
  140 -3.825e+00  1.455e+01 2.405e+01 3.224e-01
  141 -3.887e+00  1.513e+01 2.393e+01 3.326e-01
  142 -3.728e+00  1.388e+01 2.241e+01 5.178e-01
  143 -3.728e+00  1.388e+01 2.241e+01 5.178e-01
  144 -3.503e+00  1.224e+01 2.034e+01 9.476e-01
  145 -3.503e+00  1.224e+01 2.034e+01 7.512e-01
  146 -3.503e+00  1.224e+01 2.034e+01 3.779e-01
  147 -3.311e+00  1.092e+01 1.881e+01 5.476e-01
  148 -3.311e+00  1.092e+01 1.881e+01 5.476e-01
  149 -3.069e+00  9.363e+00 1.689e+01 9.635e-01
  150 -3.069e+00  9.363e+00 1.689e+01 7.359e-01
  151 -2.928e+00  8.551e+00 1.547e+01 9.836e-01
  152 -2.928e+00  8.551e+00 1.547e+01 5.717e-01
  153 -2.928e+00  8.551e+00 1.547e+01 5.717e-01
  154 -2.928e+00  8.551e+00 1.547e+01 5.717e-01
  155 -2.755e+00  7.614e+00 1.416e+01 5.813e-01
  156 -2.755e+00  7.614e+00 1.416e+01 4.450e-01
  157 -2.601e+00  6.692e+00 1.353e+01 4.450e-01
  158 -2.485e+00  6.200e+00 1.220e+01 5.962e-01
  159 -2.485e+00  6.200e+00 1.220e+01 3.475e-01
  160 -2.182e+00  4.709e+00 1.041e+01 6.519e-01
  161 -2.182e+00  4.709e+00 1.041e+01 6.519e-01
  162 -2.066e+00  4.217e+00 9.682e+00 3.475e-01
  163 -2.066e+00  4.217e+00 9.682e+00 2.492e-01
  164 -2.001e+00  4.041e+00 9.140e+00 3.125e-01
  165 -1.890e+00  3.503e+00 8.849e+00 3.125e-01
  166 -1.704e+00  2.880e+00 7.367e+00 4.898e-01
  167 -1.704e+00  2.880e+00 7.367e+00 3.358e-01
  168 -1.704e+00  2.880e+00 7.367e+00 3.358e-01
  169 -1.518e+00  2.257e+00 6.551e+00 3.358e-01
  170 -1.518e+00  2.257e+00 6.551e+00 2.846e-01
  171 -1.361e+00  1.797e+00 5.886e+00 4.202e-01
  172 -1.361e+00  1.797e+00 5.886e+00 2.714e-01
  173 -1.332e+00  1.788e+00 5.455e+00 3.042e-01
  174 -1.245e+00  1.487e+00 5.441e+00 1.525e-01
  175 -1.144e+00  1.317e+00 4.603e+00 2.094e-01
  176 -1.144e+00  1.317e+00 4.603e+00 2.094e-01
  177 -9.549e-01  8.458e-01 4.257e+00 2.094e-01
  178 -9.549e-01  8.458e-01 4.257e+00 2.094e-01
  179 -8.535e-01  6.759e-01 3.713e+00 2.094e-01
  180 -8.535e-01  6.759e-01 3.713e+00 1.259e-01
  181 -8.720e-01  7.839e-01 3.560e+00 1.259e-01
  182 -7.522e-01  5.059e-01 3.429e+00 1.259e-01
  183 -7.292e-01  5.830e-01 3.253e+00 1.328e-01
  184 -6.095e-01  3.051e-01 3.031e+00 1.328e-01
  185 -5.036e-01  3.202e-01 2.705e+00 1.574e-01
  186 -5.036e-01  3.202e-01 2.705e+00 1.574e-01
  187 -1.122e-01 -6.639e-02 1.860e+00 2.309e-01
  188 -1.122e-01 -6.639e-02 1.860e+00 2.262e-01
  189 -1.122e-01 -6.639e-02 1.860e+00 1.499e-01
  190 -2.976e-01  8.688e-02 1.684e+00 1.237e-01
  191 -6.394e-02 -6.410e-02 1.597e+00 1.237e-01
  192 -6.394e-02 -6.410e-02 1.597e+00 1.237e-01
  193 -1.574e-02 -6.182e-02 1.417e+00 1.237e-01
  194 -1.446e-01  1.310e-02 1.316e+00 6.414e-02
  195 -9.643e-02  1.539e-02 1.206e+00 6.414e-02
  196 -9.643e-02  1.539e-02 1.206e+00 3.633e-02
  197  4.243e-02 -3.880e-02 1.082e+00 6.412e-02
  198  5.527e-02  1.245e-02 9.013e-01 7.305e-02
  199  5.527e-02  1.245e-02 9.013e-01 4.103e-02
  200  5.527e-02  1.245e-02 9.013e-01 3.490e-02
  201  1.741e-01 -7.562e-03 8.256e-01 6.422e-02
  202  2.859e-01  3.936e-02 6.896e-01 9.611e-02
  203  2.859e-01  3.936e-02 6.896e-01 6.439e-02
  204  2.946e-01  9.542e-02 5.051e-01 7.751e-02
  205  2.946e-01  9.542e-02 5.051e-01 4.364e-02
  206  2.946e-01  9.542e-02 5.051e-01 4.016e-02
  207  4.151e-01  1.422e-01 4.329e-01 7.277e-02
  208  5.230e-01  2.489e-01 2.884e-01 1.133e-01
  209  5.230e-01  2.489e-01 2.884e-01 7.804e-02
  210  4.898e-01  2.522e-01 2.754e-01 7.804e-02
  211  5.687e-01  3.031e-01 2.274e-01 4.077e-02
  212  5.687e-01  3.031e-01 2.274e-01 4.077e-02
  213  6.144e-01  3.573e-01 1.895e-01 4.077e-02
  214  6.144e-01  3.573e-01 1.895e-01 3.231e-02
  215  6.295e-01  4.072e-01 1.494e-01 4.604e-02
  216  6.804e-01  4.462e-01 1.299e-01 4.604e-02
  217  7.359e-01  5.655e-01 1.274e-01 8.016e-02
  218  7.868e-01  6.045e-01 6.643e-02 8.016e-02
  219  9.233e-01  8.627e-01 1.632e-02 1.538e-01
  220  9.233e-01  8.627e-01 1.632e-02 1.287e-01
  221  9.233e-01  8.627e-01 1.632e-02 1.287e-01
  222  9.233e-01  8.627e-01 1.632e-02 6.638e-02
  223  9.013e-01  8.051e-01 1.511e-02 6.468e-02
  224  1.031e+00  1.057e+00 5.174e-03 1.218e-01
  225  9.448e-01  8.969e-01 4.833e-03 1.172e-01
  226  1.031e+00  1.063e+00 1.056e-03 8.703e-02
  227  1.010e+00  1.018e+00 1.921e-04 7.920e-02
  228  1.010e+00  1.018e+00 1.921e-04 4.329e-02
  229  1.010e+00  1.018e+00 1.921e-04 2.782e-02
  230  9.927e-01  9.859e-01 6.513e-05 1.501e-02
  231  1.001e+00  1.003e+00 4.265e-05 1.497e-02
  232  1.003e+00  1.007e+00 1.530e-05 1.018e-02
  233  1.003e+00  1.007e+00 1.530e-05 5.256e-03
  234  1.000e+00  9.998e-01 5.076e-06 5.148e-03
  235  9.996e-01  9.993e-01 4.391e-07 3.709e-03
  236  9.996e-01  9.993e-01 4.391e-07 1.867e-03
  237  9.996e-01  9.993e-01 4.391e-07 1.586e-03
  238  9.996e-01  9.993e-01 4.391e-07 1.586e-03
  239  9.999e-01  9.997e-01 2.243e-07 1.330e-03
  240  1.000e+00  1.001e+00 1.401e-07 6.837e-04
  241  9.999e-01  9.997e-01 3.778e-08 5.372e-04
  242  9.999e-01  9.997e-01 3.778e-08 4.737e-04
  243  1.000e+00  1.000e+00 2.434e-08 2.519e-04
  244  1.000e+00  1.000e+00 7.068e-09 2.505e-04
  245  1.000e+00  9.999e-01 2.269e-09 1.732e-04
  246  1.000e+00  9.999e-01 2.269e-09 8.857e-05
  247  1.000e+00  1.000e+00 1.906e-09 8.599e-05
  248  1.000e+00  1.000e+00 1.119e-09 5.116e-05
  249  1.000e+00  1.000e+00 7.589e-11 3.022e-05
  250  1.000e+00  1.000e+00 7.589e-11 3.022e-05
  251  1.000e+00  1.000e+00 7.589e-11 2.208e-05
  252  1.000e+00  1.000e+00 7.589e-11 2.026e-05
  253  1.000e+00  1.000e+00 3.605e-11 1.593e-05
  254  1.000e+00  1.000e+00 3.462e-11 1.405e-05
  255  1.000e+00  1.000e+00 8.148e-12 7.488e-06
  256  1.000e+00  1.000e+00 8.148e-12 5.425e-06
  257  1.000e+00  1.000e+00 5.334e-12 5.425e-06
  258  1.000e+00  1.000e+00 1.311e-12 2.788e-06
  259  1.000e+00  1.000e+00 1.311e-12 2.401e-06
  260  1.000e+00  1.000e+00 1.189e-12 1.367e-06
  261  1.000e+00  1.000e+00 4.713e-13 1.350e-06
  262  1.000e+00  1.000e+00 4.030e-14 1.068e-06
  263  1.000e+00  1.000e+00 4.030e-14 7.826e-07
  264  1.000e+00  1.000e+00 4.030e-14 7.476e-07
  265  1.000e+00  1.000e+00 4.030e-14 7.476e-07
  266  1.000e+00  1.000e+00 9.408e-15 7.231e-07
  267  1.000e+00  1.000e+00 7.121e-15 7.045e-07
  268  1.000e+00  1.000e+00 5.333e-15 6.701e-07
  269  1.000e+00  1.000e+00 1.516e-15 6.652e-07
  270  1.000e+00  1.000e+00 6.538e-16 6.635e-07
  271  1.000e+00  1.000e+00 6.538e-16 6.590e-07
  272  1.000e+00  1.000e+00 3.117e-16 6.582e-07
  273  1.000e+00  1.000e+00 5.050e-17 6.575e-07
  274  1.000e+00  1.000e+00 5.050e-17 6.575e-07
  275  1.000e+00  1.000e+00 3.406e-17 6.574e-07
  276  1.000e+00  1.000e+00 2.127e-17 6.573e-07
  277  1.000e+00  1.000e+00 2.812e-18 6.573e-07
  278  1.000e+00  1.000e+00 2.812e-18 6.573e-07
  279  1.000e+00  1.000e+00 2.812e-18 6.573e-07
  280  1.000e+00  1.000e+00 2.812e-18 6.573e-07
  281  1.000e+00  1.000e+00 2.869e-19 6.573e-07
  282  1.000e+00  1.000e+00 2.869e-19 6.573e-07
  283  1.000e+00  1.000e+00 2.869e-19 6.573e-07
  284  1.000e+00  1.000e+00 2.263e-19 6.573e-07
  285  1.000e+00  1.000e+00 9.790e-20 6.573e-07
  286  1.000e+00  1.000e+00 8.891e-20 6.573e-07
  287  1.000e+00  1.000e+00 3.361e-20 6.573e-07
  288  1.000e+00  1.000e+00 2.408e-20 6.573e-07
  289  1.000e+00  1.000e+00 1.164e-20 6.573e-07
  290  1.000e+00  1.000e+00 8.578e-21 6.573e-07
  291  1.000e+00  1.000e+00 4.683e-21 6.573e-07
  292  1.000e+00  1.000e+00 2.390e-21 6.573e-07
